National code	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	21	NYS	뉴욕	F/C	NYSF/C	포드 모터 일반채권(2059-12-01 6.000%)	FORD MOTOR CO 6.000% NOTES DUE 1/12/2059 USD25	2	USD	4		25.08	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	F/D	NYSF/D	포드 모터 일반채권(2062-08-15 6.500%)	FORD MOTOR CO 6.500% NOTES DUE 15/08/2062 USD25	2	USD	4		25.51	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FAF	NYSFAF	퍼스트 아메리칸 파이낸셜	FIRST AMERICAN FINANCIAL CORP	2	USD	4		66.17	1	1	930	1600	N		620	0	0	   	   
US	21	NYS	뉴욕	FAM	NYSFAM	FIRST TRUST-ABERDEEN GLOBAL OPPORTUNITY INCOME FUND	FIRST TRUST ABRDN GBL OPPORT INCM	3	USD	4		6.58	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	FBIN	NYSFBIN	포춘 브랜즈 이노베이션스	FORTUNE BRANDS INNOVATIONS INC	2	USD	4		87.91	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FBK	NYSFBK	FB 파이낸셜	FB FINANCIAL CORPORATION	2	USD	4		49.23	1	1	930	1600	N		610	0	0	   	   
US	21	NYS	뉴욕	FBMS	NYSFBMS	퍼스트 뱅크셰어스	FIRST BANCSHARES INC MISS	2	USD	4		33.98	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FBP	NYSFBP	퍼스트 뱅코프 푸에르토 리코	FIRST BANCORP PUERTO RICO	2	USD	4		21.01	1	1	930	1600	N		610	0	1	   	   
US	21	NYS	뉴욕	FBRT	NYSFBRT	프랭클린 BSP 리얼티 트러스트	FRANKLIN BSP REALTY TRUST INC	2	USD	4		13.65	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FBRT/E	NYSFBRT/E	프랭클린 BSP 리얼티 트러스트 우선주 E(7.500% 누적 상환)	FRANKLIN BSP REALTY TRUST INC 7.50% SER E CUMULATIVE REDEEMA	2	USD	4		23.01	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FC	NYSFC	프랭클린 커비	FRANKLIN COVEY CO	2	USD	4		41.65	1	1	930	1600	N		260	0	1	   	   
US	21	NYS	뉴욕	FCF	NYSFCF	퍼스트 커먼웰스 파이낸셜	FIRST COMM WTH FINL CORP PA	2	USD	4		17.5	1	1	930	1600	N		610	0	1	   	   
US	21	NYS	뉴욕	FCN	NYSFCN	FTI 컨설팅	FTI CONSULTING INC	2	USD	4		225.26	1	1	930	1600	N		260	0	1	   	   
US	21	NYS	뉴욕	FCPT	NYSFCPT	포 코너스 프라퍼티 트러스트	FOUR CORNERS PROPERTY TRUST INC	2	USD	4		29.98	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	FCRX	NYSFCRX	크레센트 캐피털 BDC 일반채권(5.000%)	CRESCENT CAPITAL BDC INC 5.00% NOTES DUE 2026	2	USD	4		24.37	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	FCT	NYSFCT	FIRST TRUST SENIOR FLOATING RATE INCOME FUND 2	FIRST TRUST SENIOR RATE INCOM FD II	3	USD	4		10.31	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	FCX	NYSFCX	프리포트 맥모란	FREEPORT-MCMORAN INC	2	USD	4		45.14	1	1	930	1600	N		130	0	0	   	   
US	21	NYS	뉴욕	FDP	NYSFDP	프레쉬 델몬트 프로듀스	FRESH DEL MONTE PRODUCE INC	2	USD	4		29.47	1	1	930	1600	N		410	0	1	   	   
US	21	NYS	뉴욕	FDS	NYSFDS	팩트셋 리서치 시스템스	FACTSET RESEARCH SYSTEMS	2	USD	4		469.48	1	1	930	1600	N		640	0	0	   	   
US	21	NYS	뉴욕	FDX	NYSFDX	페덱스	FEDEX CORP	2	USD	4		300.39	1	1	930	1600	N		270	0	0	   	   
US	21	NYS	뉴욕	FE	NYSFE	퍼스트에너지	FIRSTENERGY CORP	2	USD	4		43.23	1	1	930	1600	N		910	0	0	   	   
US	21	NYS	뉴욕	FEDU	NYSFEDU	포 시즌스 에듀케이션(ADR)	FOUR SEASONS EDUCATION (CAYMAN) INC SPON ADS EACH REP 10 ORD	2	USD	4		9.78	1	1	930	1600	N		360	0	0	   	   
US	21	NYS	뉴욕	FENG	NYSFENG	피닉스 뉴 미디어(ADR)	PHOENIX NEW MEDIA LTD SPON ADS EACH REPR 48 ORD SHS CL A(R/S	2	USD	4		3.07	1	1	930	1600	N		370	0	0	   	   
