S	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	22	NAS	나스닥	CMPO	NASCMPO	컴포시큐어	COMPOSECURE INC	2	USD	4		13.46	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CMPOW	NASCMPOW	컴포시큐어 콜 워런트(2026-12-27)	COMPOSECURE INC C/WTS 27/12/26 (TO PUR COM)	2	USD	4		3.42	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CMPR	NASCMPR	심프레스	CIMPRESS PLC	2	USD	4		85.31	1	1	930	1600	N		260	0	0	   	   
US	22	NAS	나스닥	CMPS	NASCMPS	컴퍼스 패스웨이스(ADR)	COMPASS PATHWAYS PLC UNSPON ADS REP 1 ORD SHS	2	USD	4		7.4	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CMPX	NASCMPX	컴퍼스 테라퓨틱스	COMPASS THERAPEUTICS INC	2	USD	4		1.73	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CMRX	NASCMRX	치메릭스	CHIMERIX INC	2	USD	4		0.875	1	1	930	1600	N		530	0	0	   	   
US	22	NAS	나스닥	CMTL	NASCMTL	컴테크 텔레커뮤니케이션스	COMTECH TELECOMMUNICATIONS	2	USD	4		3.44	1	1	930	1600	N		740	0	1	   	   
US	22	NAS	나스닥	CNCR	NASCNCR	LONCAR CANCER IMMUNOTHERAPY ETF	ETF SERIES SOLUTIONS TRUST RANGE CANCER THERAPEUTICS ETF	3	USD	4		15.77	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	CNDT	NASCNDT	컨듀언트	CONDUENT INC	2	USD	4		3.91	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNET	NASCNET	ZW 데이터 액션 테크놀로지스	ZW DATA ACTION TECHNOLOGIES INC	2	USD	4		0.523	1	1	930	1600	N		370	0	0	   	   
US	22	NAS	나스닥	CNEY	NASCNEY	CN 에너지 그룹	CN ENERGY GRP INC	2	USD	4		0.39	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNFR	NASCNFR	커니퍼 홀딩스	CONIFER HLDGS INC	2	USD	4		1.04	1	1	930	1600	N		620	0	1	   	   
US	22	NAS	나스닥	CNFRZ	NASCNFRZ	커니퍼 홀딩스 일반채권(2028-09-30 9.750%)	CONIFER HLDGS INC 9.75% NTS 30/09/28 USD25	2	USD	4		22.26	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNOB	NASCNOB	커넥트원 뱅코프	CONNECTONE BANCORP INC	2	USD	4		26.25	1	1	930	1600	N		610	0	1	   	   
US	22	NAS	나스닥	CNOBP	NASCNOBP	커넥트원 뱅코프 우선주 A(5.250%)	CONNECTONE BANCORP INC DEP SHS EACH REP 1/40TH INT IN SHARE	2	USD	4		20.99	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNSL	NASCNSL	컨솔리데이티드 커뮤니케이션스	CONSOLIDATED COMMUNICATIONS HLDGS	2	USD	4		4.64	1	1	930	1600	N		810	0	1	   	   
US	22	NAS	나스닥	CNSP	NASCNSP	CNS 파머슈티컬스	CNS PHARMACEUTICALS INC	2	USD	4		0.1511	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNTA	NASCNTA	센테사 파머슈티컬스(ADR)	CENTESSA PHARMACEUTICALS PLC SPON ADS EACH REPR 1 ORD SHS	2	USD	4		15.85	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNTB	NASCNTB	커넥트 바이오파머 홀딩스(ADR)	CONNECT BIOPHARMA HLDGS LTD ADS EACH REP ONE ORD SHARE	2	USD	4		1.2394	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNTM	NASCNTM	커넥트엠 테크놀로지 솔루션스	CONNECTM TECHNOLOGY SOLUTIONS INC	2	USD	4		1.09	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNTX	NASCNTX	콘텍스트 테라퓨틱스	CONTEXT THERAPEUTICS INC	2	USD	4		2.23	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNTY	NASCNTY	센추리 카지노	CENTURY CASINOS INC	2	USD	4		2.46	1	1	930	1600	N		350	0	1	   	   
US	22	NAS	나스닥	CNVS	NASCNVS	시네버스	CINEVERSE CORP	2	USD	4		0.8	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNXC	NASCNXC	컨센트릭스	CONCENTRIX CORPORATION	2	USD	4		64.17	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CNXN	NASCNXN	PC 커넥션	PC CONNECTION	2	USD	4		76.14	1	1	930	1600	N		730	0	1	   	   
US	22	NAS	나스닥	COCH	NASCOCH	엔보이 메디컬	ENVOY MEDICAL INC	2	USD	4		3.19	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COCO	NASCOCO	바이타 코코	THE VITA COCO CO INC	2	USD	4		28.83	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COCP	NASCOCP	코크리스털 파머	COCRYSTAL PHARMA INC	2	USD	4		1.76	1	1	930	1600	N		520	0	0	   	   
US	22	NAS	나스닥	CODA	NASCODA	코다 옥토퍼스 그룹	CODA OCTOPUS GROUP INC	2	USD	4		7.22	1	1	930	1600	N		730	0	0	   	   
US	22	NAS	나스닥	CODX	NASCODX	코 다이어그노스틱스	CO DIAGNOSTICS INC	2	USD	4		1.27	1	1	930	1600	N		510	0	0	   	   
US	22	NAS	나스닥	COEP	NASCOEP	코입티스 테라퓨틱스 홀딩스	COEPTIS THERAPEUTICS HOLDINGS INC	2	USD	4		0.1851	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COEPW	NASCOEPW	코입티스 테라퓨틱스 홀딩스 콜 워런트(2024-12-31)	COEPTIS THERAPEUTICS HOLDINGS INC C/WTS 31/12/2024 (TO PUR C	2	USD	4		0.015	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COFS	NASCOFS	초이스원 파이낸셜 서비시스	CHOICEONE FINANCIAL SERVICES INC	2	USD	4		31.915	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COGT	NASCOGT	코젠트 바이오사이언시스	COGENT BIOSCIENCES INC	2	USD	4		10.9	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COHU	NASCOHU	코후	COHU INC	2	USD	4		25.63	1	1	930	1600	N		710	0	1	   	   
US	22	NAS	나스닥	COIN	NASCOIN	코인베이스 글로벌	COINBASE GLOBAL INC	2	USD	4		168.24	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	COKE	NASCOKE	코카콜라 컨솔리데이티드	COCA-COLA CONSOLIDATED INC	2	USD	4		1266.98	1	1	930	1600	N		410	0	1	   	   
US	22	NAS	나스닥	COLB	NASCOLB	컬럼비아 뱅킹 시스템스	COLUMBIA BANKING SYSTEMS INC	2	USD	4		26.28	1	1	930	1600	N		610	0	1	   	   
US	22	NAS	나스닥	COLL	NASCOLL	콜레지움 파머슈티컬	COLLEGIUM PHARMACEUTICAL INC	2	USD	4		38.93	1	1	930	1600	N		520	0	1	   	   
US	22	NAS	나스닥	COLM	NASCOLM	컬럼비아 스포츠웨어	COLUMBIA SPORTSWEAR CO	2	USD	4		82.48	1	1	930	1600	N		330	0	0	   	   
US	22	NAS	나스닥	COMM	NASCOMM	콤스코프 홀딩스	COMMSCOPE HOLDINGS CO INC	2	USD	4		6	1	1	930	1600	N		740	0	0	   	   
US	22	NAS	나스닥	COMT	NASCOMT	ISHARES COMMODITIES SELECT STRATEGY ETF	ISHARES US ETF TRUST GSCI COMMODITY DYNAMIC ROLL STRATEGY ET	3	USD	4		25.95	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	CONI	NASCONI	GRANITESHARES 1X SHORT COIN DAILY ETF	GRANITESHARES 1X SHORT COIN DAILY ETF	3	USD	4		24.9	1	1	930	1600	N		0	0	0	001	   
